Reference, Value, Footprint, Datasheet, Last Seen Price (eur), Mouser, MANUFACTURER, MAXIMUM_PACKAGE_HEIGHT
"F1","Fuse 2A/16V","rak3172_easeboard:Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder","https://www.mouser.es/datasheet/2/240/Littelfuse_PTC_1812L_Datasheet_pdf-693388.pdf","0.42","https://www.mouser.es/ProductDetail/Littelfuse/1812L150-16DR?qs=Co4VkB5J4%2FtjEoM6QhdRhQ%3D%3D","",""
"D2","D_Schottky","rak3172_easeboard:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/40/schottky-776407.pdf","0.32","https://www.mouser.es/ProductDetail/Kyocera-AVX/SD0805S020S1R0?qs=jCA%252BPfw4LHbpkAoSnwrdjw%3D%3D","",""
"R10","22","rak3172_easeboard:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/392/susumu_RR_Data_Sheet-1206438.pdf","0.09","https://www.mouser.es/ProductDetail/Susumu/RR1220Q-220-D?qs=U7dmUkNviFsL4com4sXnaQ%3D%3D","",""
"R9","22","rak3172_easeboard:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/392/susumu_RR_Data_Sheet-1206438.pdf","0.09","https://www.mouser.es/ProductDetail/Susumu/RR1220Q-220-D?qs=U7dmUkNviFsL4com4sXnaQ%3D%3D","",""
"R2","10K","rak3172_easeboard:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/392/susumu_RR_Data_Sheet-1206438.pdf","0.09","https://www.mouser.es/ProductDetail/Susumu/RR1220P-103-D?qs=nCAm%252BcMdy9wM6YRNq%2FvwoQ%3D%3D","",""
"C6","1uF","rak3172_easeboard:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.mouser.es/datasheet/2/212/KEM_C1005_Y5V_SMD-1101305.pdf","0.09","https://www.mouser.es/ProductDetail/KEMET/C0805C105Z4VACTU?qs=XSafd0xJmRINotKjOdb5hw%3D%3D","",""
"SW1","SW_Push","rak3172_easeboard:SW_Push_1P1T_NO_6x6mm_H9.5mm","https://www.mouser.es/datasheet/2/358/typ_6x6_mm_tact_switches-1275689.pdf","0.21","https://www.mouser.es/ProductDetail/Schurter/13019318?qs=tGaZrb6HVSaxYojxkk2y5w%3D%3D","",""
"SW2","SW_Push","rak3172_easeboard:SW_Push_1P1T_NO_6x6mm_H9.5mm","https://www.mouser.es/datasheet/2/358/typ_6x6_mm_tact_switches-1275689.pdf","0.21","https://www.mouser.es/ProductDetail/Schurter/13019318?qs=tGaZrb6HVSaxYojxkk2y5w%3D%3D","",""
"J2","USB_C_Receptacle_Simply","rak3172_easeboard:USB_C_Receptacle_12","https://www.mouser.es/datasheet/2/837/USB4105_spec-2327646.pdf","0.69","https://www.mouser.es/ProductDetail/GCT/USB4105-GF-A?qs=KUoIvG%2F9IlY%2FMLlBMpStpA%3D%3D","GCT","3.31 mm"
"R11","5K1","rak3172_easeboard:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/315/AOA0000C307-1149632.pdf","0.09","https://www.mouser.es/ProductDetail/Panasonic/ERA-6AED512V?qs=MNPzkKEzRtSyMhgZIjuV%252BA%3D%3D","",""
"R12","5K1","rak3172_easeboard:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/315/AOA0000C307-1149632.pdf","0.09","https://www.mouser.es/ProductDetail/Panasonic/ERA-6AED512V?qs=MNPzkKEzRtSyMhgZIjuV%252BA%3D%3D","",""
"R5","5K1","rak3172_easeboard:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/315/AOA0000C307-1149632.pdf","0.09","https://www.mouser.es/ProductDetail/Panasonic/ERA-6AED512V?qs=MNPzkKEzRtSyMhgZIjuV%252BA%3D%3D","",""
"JP4","SolderJumper_2_Bridged","rak3172_easeboard:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm","~","~","","",""
"JP3","SolderJumper_2_Bridged","rak3172_easeboard:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm","~","~","","",""
"R3","100","rak3172_easeboard:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/392/susumu_RR_Data_Sheet-1206438.pdf","0.09","https://www.mouser.es/ProductDetail/Susumu/RR1220P-101-D?qs=nCAm%252BcMdy9wY7%252BMDbbfOYA%3D%3D","",""
